ID,Name,Year,Rank,Average,Bayes average,Users rated
30549,Pandemic,2008,106,7.59,7.487,108975
822,Carcassonne,2000,190,7.42,7.309,108738
13,Catan,1995,429,7.14,6.97,108024
68448,7 Wonders,2010,73,7.74,7.634,89982
36218,Dominion,2008,104,7.61,7.499,81561
9209,Ticket to Ride,2004,192,7.41,7.305,76171
178900,Codenames,2015,101,7.6,7.508,74419
167791,Terraforming Mars,2016,4,8.42,8.274,74216
173346,7 Wonders Duel,2015,16,8.11,7.984,69472
31260,Agricola,2007,36,7.93,7.809,66093
3076,Puerto Rico,2002,31,7.97,7.838,65443
148228,Splendor,2014,183,7.44,7.324,64698
169786,Scythe,2016,14,8.22,8.064,64569
40692,Small World,2009,280,7.25,7.153,64559
14996,Ticket to Ride: Europe,2005,131,7.54,7.424,63264
230802,Azul,2017,58,7.8,7.686,62802
70323,King of Tokyo,2011,345,7.17,7.073,61099
129622,Love Letter,2012,293,7.23,7.141,59467
2651,Power Grid,2004,48,7.84,7.738,58602
266192,Wingspan,2019,23,8.1,7.944,56079
39856,Dixit,2008,298,7.24,7.133,54497
163412,Patchwork,2014,94,7.64,7.535,52190
84876,The Castles of Burgundy,2011,15,8.13,8.008,50549
478,Citadels,2000,427,7.08,6.97,50181
28143,Race for the Galaxy,2007,68,7.76,7.651,48906
110327,Lords of Waterdeep,2012,76,7.75,7.619,48655
174430,Gloomhaven,2017,1,8.74,8.511,47827
34635,Stone Age,2008,125,7.55,7.44,47245
161936,Pandemic Legacy: Season 1,2015,2,8.59,8.442,45041
65244,Forbidden Island,2010,773,6.78,6.688,44513
1927,Munchkin,2001,4796,5.89,5.717,43750
12333,Twilight Struggle,2005,13,8.28,8.113,43052
120677,Terra Mystica,2012,18,8.12,7.966,41806
98778,Hanabi,2010,425,7.07,6.975,41572
150376,Dead of Winter: A Crossroads Game,2014,142,7.54,7.392,41398
54043,Jaipur,2009,145,7.5,7.391,41188
11,Bohnanza,1997,473,7.04,6.935,40098
10547,Betrayal at House on the Hill,2004,551,7.06,6.848,39644
50,Lost Cities,1999,324,7.19,7.091,39514
131357,Coup,2012,534,7.0,6.87,38741
147020,Star Realms,2014,124,7.58,7.441,38561
133473,Sushi Go!,2013,481,7.04,6.929,38011
70919,Takenoko,2011,301,7.26,7.131,37998
170216,Blood Rage,2015,35,7.99,7.818,37561
15987,Arkham Horror,2005,366,7.25,7.051,37547
41114,The Resistance,2009,297,7.27,7.134,37359
121921,Robinson Crusoe: Adventures on the Cursed Island,2012,69,7.82,7.649,37098
204583,Kingdomino,2016,234,7.35,7.228,36921
181304,Mysterium,2015,290,7.28,7.146,35241
183394,Viticulture Essential Edition,2015,25,8.06,7.895,34760
157354,Five Tribes,2014,74,7.78,7.631,34577
463,Magic: The Gathering,1993,155,7.54,7.37,34393
37111,Battlestar Galactica: The Board Game,2008,85,7.74,7.565,33961
126163,Tzolk'in: The Mayan Calendar,2012,47,7.89,7.741,33207
205637,Arkham Horror: The Card Game,2016,24,8.16,7.927,33046
193738,Great Western Trail,2016,12,8.29,8.123,32960
162886,Spirit Island,2017,11,8.36,8.133,32199
